rank_test_score,param_lgbm__learning_rate,param_lgbm__max_depth,param_lgbm__n_estimators,param_lgbm__subsample,param_lgbm__colsample_bytree,param_lgbm__reg_alpha,param_lgbm__reg_lambda,train_rmse,test_rmse
227,0.1,9,200,1.0,1.0,0.1,0.0,0.14829712213508195,0.4561191797322509
229,0.2,9,200,0.7,0.7,0.3,0.3,0.09908158436464189,0.4561273228042963
229,0.2,9,200,1.0,0.7,0.3,0.3,0.09908158436464189,0.4561273228042963
231,0.2,-1,300,0.7,0.7,0.3,0.3,0.08709749470249051,0.45616980087952563
231,0.2,-1,300,1.0,0.7,0.3,0.3,0.08709749470249051,0.45616980087952563
233,0.2,9,300,1.0,1.0,0.3,0.3,0.08714825079584014,0.456220526818436
233,0.2,9,300,0.7,1.0,0.3,0.3,0.08714825079584014,0.456220526818436
235,0.2,7,300,1.0,0.7,0.0,0.0,0.0940640961351365,0.45622154853282526
235,0.2,7,300,0.7,0.7,0.0,0.0,0.0940640961351365,0.45622154853282526
237,0.1,9,200,0.7,0.7,0.1,0.1,0.15087456929638662,0.4562272455837546
237,0.1,9,200,1.0,0.7,0.1,0.1,0.15087456929638662,0.4562272455837546
239,0.1,7,200,0.7,0.7,0.3,0.0,0.16940583376604335,0.4562432942102326
239,0.1,7,200,1.0,0.7,0.3,0.0,0.16940583376604335,0.4562432942102326
241,0.2,-1,200,1.0,1.0,0.3,0.3,0.09397692274878679,0.4563029055195612
241,0.2,-1,200,0.7,1.0,0.3,0.3,0.09397692274878679,0.4563029055195612
243,0.2,7,200,1.0,0.7,0.0,0.0,0.11381198828775209,0.45633844138911733
243,0.2,7,200,0.7,0.7,0.0,0.0,0.11381198828775209,0.45633844138911733
245,0.3,9,200,1.0,1.0,0.1,0.3,0.0857016704067967,0.4563490467260619
245,0.3,9,200,0.7,1.0,0.1,0.3,0.0857016704067967,0.4563490467260619
247,0.1,-1,200,0.7,0.7,0.3,0.3,0.13618394680184923,0.4563625130944058
247,0.1,-1,200,1.0,0.7,0.3,0.3,0.13618394680184923,0.4563625130944058
249,0.2,9,300,0.7,1.0,0.3,0.0,0.08708288834260872,0.4563694312345751
249,0.2,9,300,1.0,1.0,0.3,0.0,0.08708288834260872,0.4563694312345751
251,0.2,-1,300,1.0,1.0,0.0,0.1,0.08373685014969345,0.45638947100119054
251,0.2,-1,300,0.7,1.0,0.0,0.1,0.08373685014969345,0.45638947100119054
253,0.3,9,300,1.0,1.0,0.1,0.3,0.08237854003604837,0.4564172515474578
253,0.3,9,300,0.7,1.0,0.1,0.3,0.08237854003604837,0.4564172515474578
255,0.3,7,300,0.7,1.0,0.3,0.0,0.08476601627349685,0.45648720625188416
255,0.3,7,300,1.0,1.0,0.3,0.0,0.08476601627349685,0.45648720625188416
257,0.05,9,300,1.0,0.7,0.3,0.3,0.17840134270770105,0.4564874524351648
257,0.05,9,300,0.7,0.7,0.3,0.3,0.17840134270770105,0.4564874524351648
