rank_test_score,param_xgb__n_estimators,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__subsample,param_xgb__colsample_bytree,param_xgb__lambda,param_xgb__alpha,train_rmse,test_rmse
251,500,10,0.1,1.0,1.0,1.0,0.5,0.2392036561481673,0.6647775583282857
252,200,6,0.3,1.0,0.7,1.0,0.5,0.35257586204827657,0.6648448112477199
253,500,6,0.05,0.7,1.0,1.0,0.5,0.4669928136305635,0.6649914360406566
254,500,10,0.01,1.0,1.0,0.5,0.5,0.3993640636575429,0.6650293380653827
255,500,6,0.05,1.0,1.0,0.5,0.5,0.47353323057139973,0.6650746347148891
256,500,7,0.2,1.0,1.0,0.5,0.5,0.24764437503503914,0.6651253072225927
257,200,7,0.2,0.7,0.7,1.0,0.5,0.34677688677801205,0.6652618616950663
258,500,6,0.05,0.7,1.0,1.0,0.0,0.4701405941372984,0.665320025383317
259,200,9,0.2,1.0,1.0,1.0,0.5,0.24934606844160828,0.6654663497284706
260,500,10,0.1,0.7,0.7,0.5,0.0,0.263979520406597,0.6654834712662792
261,500,10,0.1,1.0,1.0,0.5,0.5,0.23897708722788938,0.6656366678246576
262,500,5,0.1,0.7,1.0,0.5,0.5,0.4567052265102394,0.6656383920831658
263,200,7,0.3,1.0,1.0,1.0,0.5,0.2817388725699677,0.665727452025475
264,500,6,0.05,1.0,1.0,1.0,0.5,0.4767405525775061,0.665756767484056
265,500,10,0.01,1.0,1.0,1.0,0.5,0.4072881799117895,0.6657744937823301
266,500,6,0.05,1.0,0.7,1.0,0.0,0.4811092850789131,0.6657776444908984
267,500,6,0.05,0.7,1.0,0.5,0.0,0.46687136554589775,0.6658088719774345
268,500,9,0.1,0.7,1.0,0.5,0.0,0.27800493480908417,0.665920028084642
269,500,10,0.1,0.7,1.0,1.0,0.0,0.2638826618320888,0.6660072743173744
270,500,5,0.3,1.0,0.7,1.0,0.5,0.31381911849273375,0.6660141415748831
271,500,10,0.1,1.0,1.0,1.0,0.0,0.23824249628352773,0.6661213701517384
272,500,10,0.1,0.7,1.0,0.5,0.5,0.25577123319604106,0.6661299462142082
273,200,7,0.2,0.7,1.0,1.0,0.5,0.342974845047107,0.6661364146595735
274,500,5,0.1,1.0,1.0,1.0,0.0,0.465289595642854,0.6661436222483382
275,500,7,0.2,1.0,0.7,1.0,0.0,0.25006400344736246,0.6662035416407392
276,200,6,0.3,1.0,1.0,0.5,0.5,0.34078131667012074,0.6663773666556262
277,500,5,0.1,0.7,0.7,0.5,0.5,0.4626496388657678,0.6663782400114068
278,200,6,0.2,1.0,0.7,0.5,0.0,0.4081325320814469,0.6664167489085501
279,200,6,0.2,1.0,1.0,0.5,0.0,0.40060454138047535,0.6664386193387746
280,200,9,0.2,1.0,1.0,1.0,0.0,0.2503489853998282,0.6664765811564538
281,500,5,0.1,1.0,0.7,0.5,0.0,0.4654633316361193,0.666554949621065
282,500,6,0.05,0.7,0.7,1.0,0.0,0.47381727106003596,0.666656674724433
283,200,7,0.2,0.7,0.7,0.5,0.5,0.34706062581540403,0.6666827580511573
284,500,5,0.2,0.7,0.7,1.0,0.5,0.38044565508316935,0.6668393381209534
285,200,9,0.2,1.0,1.0,0.5,0.5,0.2479515409078464,0.6668716960211151
286,500,6,0.05,1.0,0.7,0.5,0.0,0.48067793166298844,0.6669387523392776
287,200,6,0.3,1.0,0.7,0.5,0.5,0.34774576066007357,0.667000610675518
288,500,7,0.2,1.0,1.0,1.0,0.0,0.24921003266045116,0.6672313166623277
289,500,6,0.2,0.7,1.0,1.0,0.5,0.3137966452585801,0.6674775314351804
290,500,6,0.05,0.7,0.7,0.5,0.0,0.4709112445255098,0.6675090883929995
291,500,5,0.1,0.7,0.7,0.5,0.0,0.4630641367440601,0.6676230725000692
292,200,7,0.3,1.0,0.7,1.0,0.5,0.2849965108827713,0.6676814150664412
293,500,6,0.3,1.0,1.0,1.0,0.5,0.25548061672234085,0.6677002489727522
294,200,10,0.2,1.0,0.7,1.0,0.5,0.2420679441811839,0.667756784660841
295,500,7,0.2,1.0,0.7,0.5,0.0,0.24882268849356534,0.6677815850224808
296,500,5,0.1,0.7,1.0,1.0,0.0,0.4601944313064479,0.6678134263940574
297,200,7,0.2,0.7,1.0,0.5,0.5,0.3440747793641074,0.6680994451184702
298,500,9,0.01,1.0,0.7,0.5,0.0,0.45617981842635263,0.6681034930622076
299,500,6,0.3,1.0,0.7,1.0,0.5,0.25771349013056744,0.6681291679998443
300,200,10,0.2,1.0,0.7,0.5,0.5,0.24134535720693914,0.6682507063755984
301,500,10,0.1,1.0,1.0,0.5,0.0,0.23784769387589486,0.6683394686918873
302,200,9,0.2,1.0,0.7,0.5,0.0,0.2495903132732934,0.668416009777778
303,200,7,0.3,1.0,0.7,0.5,0.5,0.2818896376133585,0.6684860617533211
304,500,10,0.1,0.7,1.0,0.5,0.0,0.26616155449854006,0.6685174846927975
305,500,6,0.2,0.7,0.7,0.5,0.5,0.31656311704148454,0.66853044944916
306,200,7,0.2,0.7,0.7,1.0,0.0,0.3540862346976616,0.668538744183715
307,500,5,0.1,0.7,0.7,1.0,0.0,0.46540850165023934,0.6686784145349278
308,500,5,0.2,0.7,1.0,1.0,0.5,0.3757881469933078,0.6686903729847408
