rank_test_score,param_gbr__n_estimators,param_gbr__max_depth,param_gbr__learning_rate,param_gbr__max_features,param_gbr__subsample,train_rmse,test_rmse
274,200,7,0.01,0.5,0.5,0.7653225520251553,0.8221830494613726
275,200,5,0.1,1,1.0,0.7659130913566697,0.822538707749537
276,200,4,0.05,sqrt,1.0,0.7887878398656486,0.8235479754042383
277,200,7,0.01,0.25,0.75,0.7690482653057341,0.8241347538330943
278,100,4,0.1,sqrt,1.0,0.7901937448327772,0.8248974621953703
279,200,4,0.05,sqrt,0.75,0.790246935208341,0.8259624177824374
280,200,5,0.1,1,0.75,0.7719562113278496,0.8276064896152204
281,200,5,0.1,1,0.5,0.7753550842705104,0.8304649416061357
282,500,5,0.01,sqrt,0.75,0.794274445741402,0.8310922787934819
283,100,5,0.05,sqrt,0.75,0.7954898172295704,0.8316812506504304
284,100,4,0.1,sqrt,0.5,0.7950118372717513,0.8330239621174158
285,500,5,0.01,sqrt,0.5,0.7965635063679812,0.8333666839507384
286,200,3,0.1,sqrt,0.5,0.8013024271477491,0.8345505003750048
287,200,4,0.05,log2,1.0,0.8007534010103179,0.8348617786517736
288,200,4,0.05,log2,0.75,0.8014594541154331,0.835865453080154
289,100,4,0.1,log2,1.0,0.8035809046281315,0.8383155798388421
290,200,3,0.1,log2,1.0,0.8096314612122885,0.8394391661374321
291,500,5,0.01,log2,1.0,0.8067152575634939,0.8419282079445503
292,200,3,0.1,log2,0.75,0.813703409223584,0.8439823997049029
293,500,4,0.05,1,0.5,0.8068367044758079,0.8445292482073934
294,100,5,0.05,log2,0.75,0.810859172260555,0.8453314072076415
295,100,5,0.05,log2,1.0,0.8103099844462153,0.8459966941305656
296,200,3,0.1,log2,0.5,0.8141029249659565,0.8467195800635025
297,200,7,0.01,sqrt,1.0,0.7986843566698372,0.8470191998900208
298,500,3,0.1,1,1.0,0.8117063305162331,0.8476192001661884
299,500,4,0.05,1,1.0,0.8076050394359615,0.8481071099295253
300,200,7,0.01,sqrt,0.75,0.8005527394072228,0.848145745488648
301,500,3,0.1,1,0.75,0.8141874053259185,0.8498062892430804
302,100,5,0.05,log2,0.5,0.8152730557511224,0.8500470836027649
303,500,4,0.01,0.5,0.75,0.8288078267635653,0.8559048483723867
304,100,4,0.05,0.5,0.75,0.8294905998973003,0.8562795982320678
305,500,4,0.01,0.5,0.5,0.8294858638935758,0.8566228196742715
306,100,4,0.05,0.5,1.0,0.8301557626624743,0.8566366681186732
307,200,3,0.05,0.5,0.5,0.835170889404463,0.8585670505483115
308,100,4,0.05,0.5,0.5,0.8313314552806368,0.8590744805607999
309,200,3,0.05,0.5,0.75,0.83592654912069,0.859815207378365
310,200,3,0.05,0.5,1.0,0.836925249400863,0.8599172788077214
311,100,3,0.1,0.5,0.75,0.8358708410304325,0.8604876724164886
312,500,7,0.01,1,1.0,0.8094210578633447,0.8609695326808489
313,100,3,0.1,0.5,0.5,0.8357929636897358,0.8610172829883164
314,500,7,0.01,1,0.75,0.8126374646558194,0.862527908445953
315,100,4,0.05,0.25,0.75,0.8383596289558739,0.8627821147133069
316,500,4,0.01,0.25,0.75,0.8383505873284626,0.8632518691722869
317,100,3,0.1,0.5,1.0,0.8401163134647455,0.8640397313062208
318,500,7,0.01,1,0.5,0.8166002187159106,0.8640490897480582
319,500,4,0.01,0.25,0.5,0.8399298534206645,0.8646092561756356
320,100,4,0.05,0.25,1.0,0.8400338224513314,0.8646586215918952
321,100,7,0.05,1,1.0,0.8142223235939314,0.8651130644217322
322,200,3,0.05,0.25,0.5,0.8424831994129085,0.865579654163039
323,200,3,0.05,0.25,0.75,0.8430794763953852,0.8658580254676264
324,200,7,0.01,log2,1.0,0.821697879374563,0.8665803046431744
325,200,7,0.01,log2,0.75,0.8226726710830206,0.8667430999827282
326,200,3,0.05,0.25,1.0,0.8471658211881643,0.8685759052960106
327,100,3,0.1,0.25,0.5,0.8470019597558859,0.8691083182840208
328,200,4,0.1,1,1.0,0.8340476753584987,0.8691468191030455
329,100,3,0.1,0.25,0.75,0.8457781198974729,0.8693270511020946
330,100,7,0.05,1,0.5,0.822303754317453,0.8695028742228921
331,100,3,0.1,0.25,1.0,0.8482676023070924,0.8701339660833771
332,200,7,0.01,log2,0.5,0.8285266499401115,0.8708705525092135
333,200,5,0.05,1,1.0,0.8455436275749433,0.8804764984071842
334,200,5,0.05,1,0.75,0.8475629519072297,0.8809352685102662
335,200,5,0.05,1,0.5,0.8483736899605056,0.881078346079711
336,100,10,0.01,0.5,1.0,0.7960663814290938,0.8815473098284379
337,200,3,0.05,sqrt,0.75,0.8636322876690846,0.8821451011634592
338,100,4,0.05,sqrt,1.0,0.8611942988530187,0.8821544053907823
339,100,3,0.1,sqrt,1.0,0.8629971331421037,0.8826542476340645
340,200,3,0.05,sqrt,0.5,0.8645549413061759,0.8832181389879353
341,500,4,0.01,sqrt,0.5,0.862156183164787,0.883284758761805
342,100,3,0.1,sqrt,0.75,0.8644478532720633,0.8840570565631133
343,100,10,0.01,0.5,0.75,0.8034024069002184,0.8853107612086458
344,100,4,0.05,sqrt,0.75,0.8646912328781051,0.8854088298519254
345,100,5,0.1,1,1.0,0.851318062588749,0.886057413208282
346,100,3,0.1,sqrt,0.5,0.8670502477690858,0.8869237831565269
347,100,5,0.1,1,0.75,0.8527241299339771,0.8873405102355978
348,200,10,0.01,1,1.0,0.812549019138089,0.8877806584955401
349,100,10,0.01,0.25,0.75,0.8104320807322088,0.8890443969758172
350,200,10,0.01,1,0.75,0.8169226819235218,0.8894475923538303
351,200,3,0.05,log2,1.0,0.8736077228176424,0.892143458678829
352,200,3,0.05,log2,0.75,0.8746241472236211,0.8925449631295197
353,500,4,0.01,log2,0.75,0.8736716203903689,0.8934293719729073
354,200,3,0.05,log2,0.5,0.874830375961018,0.8938450311977718
355,100,10,0.01,0.5,0.5,0.8185914485783625,0.8940469035178117
