composition,band_gap
Cl10Mo2,0.7139
Br4Mo2O4,1.4021
Mo2S4,1.2280916666666666
Cl10Mo2N4S4,0.7922
Cl14Mo2O2Se2,1.8446
Mo2Se4,1.1138571428571429
Cl24Mo2Se4,0.9859
C6Cl14Mo2O2S4,1.3986
Mo2O8Pb2,2.76308
Mo2O10Pb4,2.8726
Cl4H4Mo2O6,2.4081
H16Mo2N4O8,3.6635
H16Mo2N4O4S4,2.07395
Mo2O10P2,1.3589
Cl18Mo2P2,0.90805
F24Mo4,4.0196000000000005
Mo4O12,1.837357142857143
Cl12Mo4,0.7435
Cl12Mo4O4,1.98035
Cl12Mo4N4,1.8712
Br4Mo4S4,1.1228
Cl12Mo4S8,1.5362
Cl20Mo4S8Se4,2.0207
C16I4Mo4O16,0.7347
C24Mo4O24,3.234
Mo4O22Pb2Se4,2.3887
Mo4O24Pb4Se4,2.0422
C8H8Mo4O16,2.0718
Cl32Mo4O4P4,0.9149
Mo4O28P8,0.859
Cl30Mo6,0.7636
Mo8O24,1.3497
Mo8O44P8,2.6705
Br12Mo12S6,1.2887
Cl56Mo24Pb4,2.8981
Br56Mo24Pb4,2.4885
I56Mo24Pb4,1.9883
Pb1Te1,0.7994133333333333
O4Te2,1.3331
O6Te2,1.1447666666666667
Cl8N8S8Te2,1.9058
O8Se2Te2,2.94255
C8Cl4F12Te2,3.04
Au2Cl14Te2,1.5768
Au2Br16Te2,0.7962
Cl18Te2W2,0.4717
Cl8F10N2Te2W2,2.1315
Br18Te2W2,0.5064
O10Pb4Te2,2.00265
Cl2Rh2Te2,1.2778333333333334
I4Pd2Te2,0.6733
Cl12Os1Te2,0.9444
F10H4N2Te2,2.6181
F6H18N4O10S2Te2,4.2164
C4H28N8O16Te2,2.7883
As2F22H2N2Te2Xe2,2.3572
Te3,0.2000571428571429
As2Te3,0.4024999999999999
F16Te4,4.01765
F24Te4,4.370699999999999
F8O4Te4,4.2107
F4O6Te4,3.3584
O8Te4,2.8747166666666666
O10Te4,1.6696
Br4F20O12Te4,2.7714
I4Te4,0.8114
O14S2Te4,3.2801
Cl8N8S8Te4,2.0113
Au4I4Te4,0.9299
Te4W2,0.874
Cl12Te4W2,0.1679
Pb4Te4,0.7374
F24Pb4Te4,4.5945
O12Pb4Te4,2.6943
Cl4O12Pb6Te4,2.5598
Br4O12Pb6Te4,2.5136
Ru2Te4,0.5161000000000001
Cl4O12Pb4Pd2Te4,1.9382
F8H4O6Te4,1.8557
C4H12Te4,1.5884
C4Cl12H12Te4,2.5394
O18P4Te4,3.4124
Cl36P4Te4,1.8013
As4Br12F24Te4,3.0779
As4Ru4Te4,1.059
As4H4O20Te4,3.11945
Mo2Te4,0.846075
Cl28Mo4O4Te4,1.9163
O12Te6,2.6234
O16Se2Te6,2.6401
Cl16O4Se8Te6W4,0.7356
Br8Pd8Te6,0.9405
As4Te6,0.4436333333333333
As4O22Te6,3.1143
Cl32Mo2Te6,0.9168
Cl36Mo3Te6,0.7342
F30O6Te7,2.3537
As5I1Te7,0.2542
O16Te8,2.30575
O18Te8,2.2302
Cl32Te8,3.1411
I8Te8,0.7513000000000001
I32Te8,1.7696999999999998
C8F16Te8,1.6582
C8F24Te8,2.3992
Cl24Te8W4,0.3155
Ru4Te8,0.3139
H4N4O28Te8,2.1345
Ir8P8Te8,0.902
