rank_test_score,param_learning_rate,param_max_depth,param_n_estimators,param_colsample_bytree,param_subsample,train_rmse,test_rmse
281,0.01,10,200,1.0,1.0,0.2701835539210583,0.6648976061693559
282,0.01,3,500,1.0,1.0,0.5472008375694787,0.6653151582514113
283,0.01,3,500,0.7,1.0,0.550163603299976,0.6653236275243188
284,0.5,3,200,1.0,0.5,0.170719329329895,0.665365402170136
285,0.5,3,200,1.0,0.7,0.13939564687979347,0.6658327472608354
286,0.5,10,200,1.0,0.7,0.012916422651117894,0.6659550940380705
287,0.5,5,200,0.7,0.7,0.020358516434461522,0.6661401134697406
288,0.5,5,500,0.7,0.7,0.013322545502459487,0.666534137240449
289,0.5,10,500,1.0,0.7,0.012847158559071255,0.6667559396527208
290,0.01,3,500,0.5,1.0,0.5532710255192597,0.6675316675586107
291,0.5,7,200,1.0,0.7,0.01298307550854181,0.6676297067582556
292,0.5,7,500,1.0,0.7,0.012839486430436758,0.6682099491166232
293,0.5,7,200,0.7,0.7,0.013003140594443642,0.6687469501866287
294,0.5,7,500,0.7,0.7,0.012926952998418664,0.6689897042595643
295,0.01,5,200,1.0,0.7,0.5238022338088397,0.6694898839023758
296,0.5,3,200,0.5,0.7,0.15142270541512917,0.6708009188311094
297,0.5,3,500,1.0,0.5,0.06337307075693929,0.6719901213478457
298,0.5,5,200,0.5,0.7,0.02138427350405687,0.6721424126898141
299,0.5,5,500,0.5,0.7,0.01377077392110816,0.6725740209206719
300,0.01,5,200,1.0,0.5,0.5434721927262599,0.67302340911335
301,0.01,5,200,0.7,0.7,0.5298472291970748,0.6730496070929093
302,0.5,3,500,0.5,0.7,0.05057059898040337,0.6734037109111197
303,0.01,5,200,0.7,1.0,0.5170520327316003,0.6740947053418089
304,0.5,7,200,0.5,0.7,0.013044645566181016,0.6742257495320921
305,0.5,7,500,0.5,0.7,0.01287651123669227,0.6744642384228541
306,0.01,5,200,0.5,0.7,0.5368361357235806,0.6755421370382889
307,0.01,5,200,0.5,1.0,0.5233780082531394,0.676627197408795
308,0.01,5,200,1.0,1.0,0.5158485679066894,0.677336013406268
309,0.01,5,200,0.7,0.5,0.5482108807999847,0.6793097970888429
310,0.01,5,200,0.5,0.5,0.5557093841314124,0.681992335639323
311,0.5,10,200,0.5,0.7,0.012924386048434981,0.6837078961642423
312,0.5,10,500,0.5,0.7,0.012909635903855002,0.6837776206103792
313,0.5,4,200,0.7,0.5,0.0779118872724418,0.6880890311397518
314,0.5,3,200,0.7,0.5,0.18402521757578966,0.6907771015978245
315,0.5,10,200,0.7,0.7,0.012893182948655858,0.6914255005919369
316,0.5,4,500,0.7,0.5,0.02298577848259844,0.6914815776975074
317,0.5,10,500,0.7,0.7,0.012867261796318422,0.6924158396862233
318,0.5,3,500,0.7,0.5,0.06804692266414113,0.6942835895171124
319,0.5,10,200,0.7,0.5,0.013545281818159855,0.697461856659694
320,0.5,10,500,0.7,0.5,0.013690897387918385,0.6984992797100485
321,0.01,4,200,1.0,0.7,0.5997970201705488,0.6989096911282396
322,0.01,4,200,1.0,0.5,0.6087456370458588,0.7027926366102806
323,0.01,4,200,0.7,0.7,0.6054671532504895,0.7035613655701228
324,0.01,4,200,1.0,1.0,0.5969702247702843,0.7038716962172451
325,0.01,4,200,0.5,0.7,0.6113877757357317,0.7042395629610764
326,0.5,5,200,0.7,0.5,0.031790791944467794,0.7053953700254606
327,0.5,10,200,0.5,0.5,0.013680891445035767,0.7054176204398258
328,0.01,4,200,0.7,1.0,0.6002400254914532,0.7059332040409311
329,0.01,4,200,0.7,0.5,0.614712130757776,0.7059462216020657
330,0.5,5,500,0.7,0.5,0.015890361385757595,0.7060040598737273
331,0.5,10,500,0.5,0.5,0.0137187577402063,0.7061182746706466
332,0.01,4,200,0.5,1.0,0.6057812924955946,0.7082645176452166
333,0.5,7,500,0.7,0.5,0.013923457608100022,0.7091894411537061
334,0.5,7,200,0.7,0.5,0.014223109774330526,0.709400795277315
335,0.01,4,200,0.5,0.5,0.6215631102395874,0.7118503373338836
336,0.5,5,200,0.5,0.5,0.03465220605121485,0.7120728457074096
337,0.5,3,500,0.5,0.5,0.07343132890499253,0.7120976857280896
338,0.5,5,500,0.5,0.5,0.015716186133389137,0.7133399834877028
339,0.5,7,200,0.5,0.5,0.01469743005888157,0.713374009703711
340,0.5,3,200,0.5,0.5,0.19000698050831394,0.7137868331708517
341,0.5,7,500,0.5,0.5,0.013941014484101621,0.7145101509804309
342,0.5,5,200,1.0,0.5,0.02987523403381809,0.7161197410866207
343,0.5,10,200,1.0,0.5,0.01359573361050306,0.7168014732876711
344,0.5,5,500,1.0,0.5,0.014675980096799055,0.7171043652316207
345,0.5,10,500,1.0,0.5,0.013361033440486824,0.7175142868550979
346,0.5,7,200,1.0,0.5,0.014163953652992053,0.720334218789414
347,0.5,7,500,1.0,0.5,0.013642632338171402,0.7208671603349975
348,0.5,4,200,0.5,0.5,0.08582247724105127,0.7218280548242993
349,0.5,4,200,1.0,0.5,0.07571837838216114,0.7259362855867856
350,0.5,4,500,0.5,0.5,0.02469629102981137,0.7270683915531856
351,0.5,4,500,1.0,0.5,0.02218984625948215,0.7284639475360004
352,0.01,3,200,1.0,0.5,0.6859347952887429,0.7431054029119436
353,0.01,3,200,1.0,0.7,0.6847264770749966,0.7446367168500366
354,0.01,3,200,0.7,0.5,0.6909573022666323,0.7465048716877744
355,0.01,3,200,0.7,0.7,0.6885920483491589,0.747004554857158
356,0.01,3,200,0.5,0.7,0.6934825139665527,0.749927054622342
357,0.01,3,200,0.5,0.5,0.6957350294858665,0.7517990667770027
358,0.01,3,200,1.0,1.0,0.6870349594226782,0.7534117595694495
359,0.01,3,200,0.7,1.0,0.6901228685088507,0.7537324208963312
360,0.01,3,200,0.5,1.0,0.6933030040538736,0.7571018695545109
